2025-06-16 18:11:36 | INFO     | logging_config.py:93   | initialize() | ============================================================
2025-06-16 18:11:36 | INFO     | logging_config.py:94   | initialize() | UNIFIED SCREENER SYSTEM STARTING
2025-06-16 18:11:36 | INFO     | logging_config.py:95   | initialize() | Log Level: INFO
2025-06-16 18:11:36 | INFO     | logging_config.py:96   | initialize() | Log File: logs\unified_20250616.log
2025-06-16 18:11:36 | INFO     | logging_config.py:97   | initialize() | Console Output: True
2025-06-16 18:11:36 | INFO     | logging_config.py:98   | initialize() | All modules will log to this unified logger
2025-06-16 18:11:36 | INFO     | logging_config.py:99   | initialize() | ============================================================
2025-06-16 18:11:44 | INFO     | logging_config.py:139  | log_system_info() | SYSTEM INFORMATION:
2025-06-16 18:11:44 | INFO     | logging_config.py:140  | log_system_info() |   Python Version: 3.13.4
2025-06-16 18:11:44 | INFO     | logging_config.py:141  | log_system_info() |   Platform: Windows-11-10.0.22631-SP0
2025-06-16 18:11:44 | INFO     | logging_config.py:142  | log_system_info() |   CPU Count: 8
2025-06-16 18:11:44 | INFO     | logging_config.py:143  | log_system_info() |   Memory: 15.8 GB
2025-06-16 18:11:44 | INFO     | logging_config.py:144  | log_system_info() |   Disk Space: 337.2 GB
2025-06-16 18:11:44 | INFO     | main.py:114  | main() | Initializing Two-Agent Screener System
2025-06-16 18:11:44 | INFO     | main.py:118  | main() | Setting up Fed Analysis Agent...
2025-06-16 18:11:44 | INFO     | fed_analysis_agent.py:29   | __init__() | Initializing FedAnalysisAgent
2025-06-16 18:11:44 | DEBUG    | fed_analysis_agent.py:30   | __init__() | Configuration: model=gpt-4o-mini, temperature=0
2025-06-16 18:11:44 | INFO     | fed_analysis_agent.py:33   | __init__() | Setting up database manager
2025-06-16 18:11:44 | INFO     | fed_analysis_agent.py:36   | __init__() | Setting up embedding manager with model: sentence-transformers/all-MiniLM-L6-v2
2025-06-16 18:11:44 | INFO     | SentenceTransformer.py:211  | __init__() | Use pytorch device_name: cpu
2025-06-16 18:11:44 | INFO     | SentenceTransformer.py:219  | __init__() | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-06-16 18:11:47 | INFO     | embeddings.py:16   | __init__() | Initialized embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-06-16 18:11:47 | DEBUG    | fed_analysis_agent.py:40   | __init__() | Creating database tables if they don't exist
2025-06-16 18:11:47 | INFO     | database.py:24   | create_tables() | Database tables created successfully
2025-06-16 18:11:47 | INFO     | fed_analysis_agent.py:44   | __init__() | Initializing LLM with model: gpt-4o-mini
2025-06-16 18:11:47 | INFO     | fed_analysis_agent.py:51   | __init__() | Setting up Fed analysis tools
2025-06-16 18:11:47 | DEBUG    | fed_analysis_agent.py:58   | __init__() | Initialized 1 tools for Fed analysis
2025-06-16 18:11:47 | DEBUG    | fed_analysis_agent.py:61   | __init__() | Creating Fed analysis agent
2025-06-16 18:11:47 | DEBUG    | fed_analysis_agent.py:69   | __init__() | Creating Fed analysis agent executor
2025-06-16 18:11:47 | INFO     | fed_analysis_agent.py:78   | __init__() | FedAnalysisAgent initialization completed successfully
2025-06-16 18:11:47 | INFO     | main.py:125  | main() | Setting up Screener Analysis Agent...
2025-06-16 18:11:47 | INFO     | screener_analysis_agent.py:29   | __init__() | Initializing ScreenerAnalysisAgent
2025-06-16 18:11:47 | DEBUG    | screener_analysis_agent.py:30   | __init__() | Configuration: model=gpt-4o-mini, temperature=0
2025-06-16 18:11:47 | INFO     | screener_analysis_agent.py:33   | __init__() | Setting up database manager
2025-06-16 18:11:47 | DEBUG    | screener_analysis_agent.py:37   | __init__() | Creating database tables if they don't exist
2025-06-16 18:11:47 | INFO     | database.py:24   | create_tables() | Database tables created successfully
2025-06-16 18:11:47 | INFO     | screener_analysis_agent.py:41   | __init__() | Initializing LLM with model: gpt-4o-mini
2025-06-16 18:11:47 | INFO     | screener_analysis_agent.py:48   | __init__() | Setting up screener execution tools
2025-06-16 18:11:47 | DEBUG    | tradingview_query.py:38   | __init__() | TradingViewQueryTool initialized
2025-06-16 18:11:47 | DEBUG    | tradingview_query.py:40   | __init__() | Database manager configured
2025-06-16 18:11:47 | DEBUG    | screener_analysis_agent.py:55   | __init__() | Initialized 1 tools for screener execution
2025-06-16 18:11:47 | DEBUG    | screener_analysis_agent.py:58   | __init__() | Creating screener analysis agent
2025-06-16 18:11:47 | DEBUG    | screener_analysis_agent.py:66   | __init__() | Creating screener analysis agent executor
2025-06-16 18:11:47 | INFO     | screener_analysis_agent.py:75   | __init__() | ScreenerAnalysisAgent initialization completed successfully
2025-06-16 18:11:47 | INFO     | main.py:132  | main() | Both agents initialized successfully
2025-06-16 18:11:47 | INFO     | main.py:135  | main() | Starting Fed analysis workflow...
2025-06-16 18:11:47 | INFO     | main.py:32   | run_fed_analysis_workflow() | ============================================================
2025-06-16 18:11:47 | INFO     | main.py:33   | run_fed_analysis_workflow() | STARTING FED ANALYSIS WORKFLOW
2025-06-16 18:11:47 | INFO     | main.py:34   | run_fed_analysis_workflow() | ============================================================
2025-06-16 18:11:47 | INFO     | main.py:44   | run_fed_analysis_workflow() | STEP 1: Fed Data Analysis
2025-06-16 18:11:47 | INFO     | main.py:45   | run_fed_analysis_workflow() | ------------------------------
2025-06-16 18:11:47 | INFO     | fed_analysis_agent.py:96   | analyze_fed_data() | Starting Fed data analysis for URL: https://www.federalreserve.gov/newsevents/pressreleases.htm
2025-06-16 18:11:47 | INFO     | fed_analysis_agent.py:97   | analyze_fed_data() | Target content: FOMC interest rates monetary policy
2025-06-16 18:11:47 | INFO     | database.py:160  | start_agent_execution() | Started agent execution with ID: f8bcb04c-9277-4e03-9035-94f985b06c68
